 2014-Dec-24 14:32:28.032, 2457016.105880000,N, ,144.64893, 14.95438, 255.5047, 41.9556,  38.480361,
 2014-Dec-25 11:29:40.416, 2457016.978940000, , ,144.60530, 14.97256, 188.4917, 67.4223,  38.394398,
 2014-Dec-26 07:25:32.160, 2457017.809400000, , ,144.56174, 14.99047,  98.1327, 35.2287,  38.314004,
 2014-Dec-27 09:56:49.344, 2457018.914460000, , ,144.49980, 15.01544, 139.9376, 62.6252,  38.208554,
 2014-Dec-28 09:18:04.320, 2457019.887550000, , ,144.44249, 15.03834, 126.4226, 57.5982,  38.117546,
 2014-Dec-29 07:13:42.816, 2457020.801190000, ,m,144.38625, 15.06062,  98.1780, 35.4019,  38.033688,
 2015-Jan-02 12:57:34.272, 2457025.039980000, , ,144.09234, 15.17404, 242.5739, 52.7707,  37.664082,
 2015-Jan-03 06:28:38.496, 2457025.769890000, ,m,144.03739, 15.19510,  94.0636, 30.7152,  37.603992,
 2015-Jan-11 13:21:42.336, 2457034.056740000, ,m,143.30755, 15.46400, 257.0878, 41.2243,  36.996737,
 2015-Jan-13 08:50:01.248, 2457035.868070000, ,m,143.12636, 15.52926, 141.8679, 63.7574,  36.883653,
 2015-Jan-15 13:05:56.256, 2457038.045790000, ,m,142.89790, 15.61029, 257.5468, 41.0015,  36.757803,
 2015-Jan-17 09:00:18.144, 2457039.875210000, , ,142.69922, 15.68045, 156.2284, 66.7502,  36.660519,
 2015-Jan-22 12:38:24.288, 2457045.026670000, , ,142.10513, 15.88615, 258.4325, 40.5501,  36.430542,
 2015-Jan-29 04:46:28.416, 2457051.698940000, ,m,141.28015, 16.16508,  94.9035, 33.4619,  36.231970,
 2015-Feb-02 06:56:35.520, 2457055.789300000, ,m,140.75267, 16.33936, 130.0752, 60.9030,  36.167017,
 2015-Feb-03 06:07:06.816, 2457056.754940000, ,m,140.62683, 16.38053, 115.6096, 53.3674,  36.158112,
 2015-Feb-05 04:18:56.448, 2457058.679820000, ,m,140.37491, 16.46246,  95.1956, 34.3449,  36.147686,
 2015-Feb-07 04:29:34.080, 2457060.687200000, ,m,140.11112, 16.54756,  98.4163, 38.2634,  36.147081,
 2015-Feb-07 06:57:35.136, 2457060.789990000, ,m,140.09736, 16.55195, 139.6683, 64.3695,  36.147236,
 2015-Feb-08 04:34:06.240, 2457061.690350000, , ,139.97920, 16.58987,  99.9706, 40.0585,  36.150747,
 2015-Feb-09 06:45:53.568, 2457062.781870000, ,m,139.83552, 16.63572, 138.2721, 64.0752,  36.157659,
 2015-Feb-11 06:32:07.584, 2457064.772310000, , ,139.57451, 16.71854, 135.9842, 63.4838,  36.178471,
 2015-Feb-13 04:51:11.808, 2457066.702220000, , ,139.32290, 16.79778, 107.5239, 47.8077,  36.208608,
 2015-Feb-15 06:48:12.672, 2457068.783480000, , ,139.05343, 16.88188, 153.0734, 67.5741,  36.251892,
 2015-Feb-18 03:05:56.832, 2457071.629130000, , ,138.69104, 16.99395,  92.2377, 31.6242,  36.329473,
 2015-Feb-19 04:27:51.264, 2457072.686010000, , ,138.55821, 17.03469, 107.9662, 48.5790,  36.363446,
 2015-Feb-26 09:32:30.048, 2457079.897570000, , ,137.69137, 17.29601, 253.9400, 47.3335,  36.670437,
 2015-Mar-05 06:27:23.328, 2457086.769020000, ,m,136.95049, 17.51347, 191.7594, 69.8222,  37.077835,
 2015-Mar-06 07:05:50.208, 2457087.795720000, ,m,136.84820, 17.54296, 217.6303, 66.2298,  37.147805,
 2015-Mar-07 07:29:07.296, 2457088.811890000, ,m,136.74935, 17.57135, 230.1340, 62.4248,  37.219300,
 2015-Mar-11 01:54:30.528, 2457092.579520000,*, ,136.40536, 17.66932,  94.7997, 36.0302,  37.503353,
 2015-Mar-11 03:02:35.520, 2457092.626800000,A, ,136.40117, 17.67051, 107.6328, 49.3422,  37.507040,
 2015-Mar-18 03:25:11.136, 2457099.642490000,A, ,135.85924, 17.82089, 121.3971, 58.9377,  38.111041,
 2015-Mar-19 02:49:02.496, 2457100.617390000,N, ,135.79493, 17.83835, 112.2335, 53.2574,  38.202169,
 2015-Mar-19 04:05:26.880, 2457100.670450000, , ,135.79137, 17.83930, 139.1058, 65.7539,  38.207136,
 2015-Mar-21 01:59:24.288, 2457102.582920000,*,m,135.67371, 17.87096, 103.0065, 45.4280,  38.390865,
 2015-Mar-21 08:22:53.472, 2457102.849230000, , ,135.65750, 17.87511, 260.2766, 42.0477,  38.416944,
 2015-Mar-23 08:44:28.608, 2457104.864220000, , ,135.54683, 17.90440, 265.4531, 36.1496,  38.617891,
 2015-Mar-24 08:52:33.312, 2457105.869830000, , ,135.49625, 17.91763, 267.4269, 33.7258,  38.720560,
 2015-Mar-25 08:32:59.136, 2457106.856240000, , ,135.44971, 17.92972, 264.9475, 36.8076,  38.822733,
 2015-Mar-26 06:43:49.152, 2457107.780430000, ,m,135.40897, 17.94026, 242.5056, 56.9140,  38.919685,
 2015-Mar-27 04:04:29.856, 2457108.669790000, ,m,135.37242, 17.94965, 157.0671, 69.2707,  39.014193,
 2015-Mar-28 03:55:18.624, 2457109.663410000, ,m,135.33421, 17.95926, 153.8624, 68.8570,  39.121126,
 2015-Mar-31 03:41:27.456, 2457112.653790000,A,m,135.23799, 17.98270, 152.8151, 68.7291,  39.450896,
 2015-Mar-31 03:48:49.824, 2457112.658910000, ,m,135.23784, 17.98273, 157.4181, 69.3483,  39.451469,
 2015-Mar-31 06:47:28.608, 2457112.782970000, ,m,135.23414, 17.98350, 248.9961, 52.5738,  39.465448,
 2015-Apr-03 05:24:11.232, 2457115.725130000, ,m,135.16843, 17.99824, 225.4821, 64.6053,  39.801118,
 2015-Apr-04 01:24:44.640, 2457116.558850000,*, ,135.15517, 18.00095, 107.5556, 49.8256,  39.898102,
 2015-Apr-05 03:42:58.176, 2457117.654840000,A,m,135.14031, 18.00361, 166.8821, 70.2381,  40.026628,
 2015-Apr-06 03:39:03.168, 2457118.652120000,A, ,135.13033, 18.00506, 166.9194, 70.2420,  40.144729,
 2015-Apr-07 03:35:07.296, 2457119.649390000,A, ,135.12350, 18.00561, 166.9385, 70.2438,  40.263840,
 2015-Apr-08 03:31:12.288, 2457120.646670000,A, ,135.11981, 18.00526, 166.9594, 70.2448,  40.383922,
 2015-Apr-09 03:27:13.824, 2457121.643910000,A, ,135.11928, 18.00401, 166.9323, 70.2418,  40.504932,
 2015-Apr-10 03:23:17.088, 2457122.641170000,A, ,135.12187, 18.00187, 166.9169, 70.2386,  40.626844,
 2015-Apr-11 03:19:23.808, 2457123.638470000,N, ,135.12760, 17.99883, 166.9332, 70.2366,  40.749625,
 2015-Apr-12 03:15:29.664, 2457124.635760000,N, ,135.13646, 17.99491, 166.9315, 70.2325,  40.873243,
 2015-Apr-13 03:11:33.792, 2457125.633030000,N, ,135.14845, 17.99009, 166.9016, 70.2256,  40.997646,
